"did;query;name;duplicate_ids;aas_spec;qualifier;category;datatype;unit;metalabel"
"128;a computer program or data that is stored on a chip and that cannot be changed or lost;Firmware revision;12;Property;SUP;Constant;STRING;;50"
"129;permanent software programmed into a read-only memory;Version of the Firmware;12;Property;SUP;Constant;STRING;;50"
"130;software program or set of instructions programmed on a hardware device that is necessary for its operation, installed by the producer;Firmware revision;12;Property;SUP;Constant;STRING;;50"
"131;program belonging to the hardware of a computer, stored by the manufacturer on read-only memory and not changeable by the user;Version of the Firmware;12;Property;SUP;Constant;STRING;;50"
"132;specific class of computer software that providess the low-level control for a device's specific hardware;Firmware revision;12;Property;SUP;Constant;STRING;;50"
"133;coded instructions that are stored permanently in read-only memory;Version of the Firmware;12;Property;SUP;Constant;STRING;;50"
"134;software providing the low-level control for a device's specific hardware, installed by the producer;Version of the Firmware;12;Property;SUP;Constant;STRING;;50"
"135;embedded software contained in EPROM or flash memory;Firmware revision;12;Property;SUP;Constant;STRING;;50"
"136;the physical parts of a computer, such as the case, central processing unit (CPU), monitor, mouse, keyboard, computer data storage, graphics card, sound card, speakers and motherboard;Hardware revision;13;Property;SUP;Constant;STRING;;50"
"137;type of mechanical, magentic, electronic and electrical components making up a computer system;Version of the hardware;13;Property;SUP;Constant;STRING;;50"
"138;version of the sum of all physical objects which comprise a computer system;Hardware revision;13;Property;SUP;Constant;STRING;;50"
"139;hardware version of the device;Version of the hardware;13;Property;SUP;Constant;STRING;;50"
"140;device's physical composition such as the machine and wiring;Hardware revision;13;Property;SUP;Constant;STRING;;50"
"141;shaping of the mechanical, magentic, electronic and electrical equipment a computer is composed of;Version of the hardware;13;Property;SUP;Constant;STRING;;50"
"142;version of the hardware refering to the machines themselves as opposed to the programs which tell the machines what to do;Hardware revision;13;Property;SUP;Constant;STRING;;50"
"143;moulding of to the physical parts of a computer and related devices;Version of the hardware;13;Property;SUP;Constant;STRING;;50"
"144;physical components of a computer such as the machine and wiring;Hardware revision;13;Property;SUP;Constant;STRING;;50"
"145;written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory;Software revision;14;Property;SUP;Constant;STRING;;50"
"146;encoded computer instructions, usually modifiable;Version of the software;14;Property;SUP;Constant;STRING;;50"
"147;set of words, definitions, instructions, language and code to program a computer, device, app, technology, laptop, server or network;Software revision;14;Property;SUP;Constant;STRING;;50"
"148;device's program that tells it what to do or how to perform a task;Version of the software;14;Property;SUP;Constant;STRING;;50"
"149;version of the instructions that control what a computer does;Software revision;14;Property;SUP;Constant;STRING;;50"
"150;programs put into a computer to make it do particular jobs;Version of the software;14;Property;SUP;Constant;STRING;;50"
"151;description of all the functional aspects of a computer that do not refer to its physical components (hardware);Software revision;14;Property;SUP;Constant;STRING;;50"
"152;scripts, applications, programs and sets of instructions are all terms often used to describe the particular version of software;Version of the software;14;Property;SUP;Constant;STRING;;50"
"153;composition of everything that “runs” on a computer, from an operating system, to a diagnostic tool, video game, or app;Software revision;14;Property;SUP;Constant;STRING;;50"
"154;Date from which the production and or development process is completed or from which a service is provided completely;Manufacture date;15;Property;SUP;Constant;STRING;;50"
"155;date of the manufacturer's final acceptance of finished equipment;Fabrication date;15;Property;SUP;Constant;STRING;;50"
"156;date chosen by the manufacturer occurring between the initiation of manufacture and the delivery to the purchaser;Production date;15;Property;SUP;Constant;STRING;;50"
"157;date specified by the manufacturer when the product was made subject to the requirements;Date of production;15;Property;SUP;Constant;STRING;;50"
"158;date on which the product was manufactured;Date of fabrication;15;Property;SUP;Constant;STRING;;50"
"159;date of manufacture of the product;Creation date;15;Property;SUP;Constant;STRING;;50"
"160;date on which the product was completed by the manufacturer and is ready for sale;Date of creation;15;Property;SUP;Constant;STRING;;50"
"161;this feature describes the day on which the product was manufactured by the manufacturer;Date of production;15;Property;SUP;Constant;STRING;;50"
"162;Date on which a product becomes the item it is supposed to be, or as it is described in its specifications or technical literature;date of fabrication;15;Property;SUP;Constant;STRING;;50"
"163;universal code identifying a logical or physical resource of a product;Product instance URI;16;Property;SUP;Constant;STRING;;50"
"164;global description that helps identify the source of an item without ambiguity;Product instance URI;16;Property;SUP;Constant;STRING;;50"
"165;universal resource identifier of a product (physical instance);Product URI;16;Property;SUP;Constant;STRING;;50"
"166;defines a way to encapsulate a name in any registered name space, and label it with the the name space, producing a member of the universal product set known as URI of a product;Product URI;16;Property;SUP;Constant;STRING;;50"
"167;universal syntax that encodes and labels products;URI of the device instance;16;Property;SUP;Constant;STRING;;50"
"168;identifier for the purpose of distinguishing one product resource from all other product resources, regardless of how that purpose is accomplished (e.g. by name, address, or context);device instance uri;16;Property;SUP;Constant;STRING;;50"
"169;a compact sequence of  characters that identifies an abstract or physical resource of a product;URI of the device instance;16;Property;SUP;Constant;STRING;;50"
"170;universal set of characters assigned for the identification of a product;device instance uri;16;Property;SUP;Constant;STRING;;50"
"171; information about manufacturer attributes with the specified URI;Manufacturer URI;17;Property;SUP;Constant;STRING;;50"
"172;universal resource identifier of a product's manufacturer;Producer URI;17;Property;SUP;Constant;STRING;;50"
"173;unique global identification of the product's manufacturer using an universal resource identifier;Fabricator URI;17;Property;SUP;Constant;STRING;;50"
"174;global description that defines the manufacturer of a product;Producer URI;17;Property;SUP;Constant;STRING;;50"
"175;universal syntax that encodes and labels the manufacturer of an item;URI of the producer;17;Property;SUP;Constant;STRING;;50"
"176;universal set of characters providing the domain name of the producer of a product;URI of the manufacturer;17;Property;SUP;Constant;STRING;;50"
"177;identifier consisting of a sequence of characters matching the syntax rule named ""URI""  and enabling the identification of a product's manufacturer;URI of the fabricator;17;Property;SUP;Constant;STRING;;50"
"178;highest value of relative humidity for which a device is or must be designed to operate within its specified limits;Highest permitted relative humidity;18;Property;SUP;Constant;REAL_MEASURE;%;45"
"179;highest relative humidity which is permitted for the intended use of device;Greatest allowable humidity;18;Property;SUP;Constant;REAL_MEASURE;%;45"
"180;maximal value for the adjustment range of relative air humidity;Maximum allowed humidity;18;Property;SUP;Constant;REAL_MEASURE;%;45"
"181;indication of the maximum value of relative humidity at which the device can be operated properly;Max humidty allowed;18;Property;SUP;Constant;REAL_MEASURE;%;45"
"182;highest relative humidity to which a device may be subject without permanent impairment of operating characteristics;Greatest permitted humidity;18;Property;SUP;Constant;REAL_MEASURE;%;45"
"183;highest value of relative humidity for which a device is or should be designed to operate within its specified limits;Maximum permitted relative humidty;18;Property;SUP;Constant;REAL_MEASURE;%;45"
"184;maximum relative humidity a component may be continuously exposed to during operation;Highest relative air humidity allowed;18;Property;SUP;Constant;REAL_MEASURE;%;45"
"185;This characteristic describes the maximum humidity in which a device may be operated.;Maximum allowed humidity;18;Property;SUP;Constant;REAL;%;45"
"186;maximum relative air humidity during operation;Max humidty allowed;18;Property;SUP;Constant;REAL;%;45"
"187;highest air humidity at which the component may be used ;Greatest permitted humidity;18;Property;SUP;Constant;REAL;%;45"
"188;highest allowed humidity for a device;Highest permitted relative humidity;18;Property;SUP;Constant;REAL;%;45"
"189;maximum humidity at which the device may be used in operation;Greatest allowable humidity;18;Property;SUP;Constant;REAL;%;45"
"190;lowest relative humidity which is required for the intended use of device;Smallest permitted relative humidity;19;Property;SUP;Constant;REAL;%;45"
"191;indication of the minimum value of relative humidity at which the device can be operated properly;Least allowable humidity;19;Property;SUP;Constant;REAL;%;45"
"192;lowest relative humidity to which a device may be subject without permanent impairment of operating characteristics;Minimum allowed humidity;19;Property;SUP;Constant;REAL;%;45"
"193;lowest value of relative humidity for which a device is or should be designed to operate within its specified limits;Min humidty allowed;19;Property;SUP;Constant;REAL;%;45"
"194;minimum relative humidity a component may be continuously exposed to during operation;Least permitted humidity;19;Property;SUP;Constant;REAL_MEASURE;%;45"
"195;This characteristic describes the minimum humidity in which a device may be operated. ;Minimum permitted relative humidty;19;Property;SUP;Constant;REAL_MEASURE;%;45"
"196;minimum relative air humidity during operation;Smallest relative air humidity allowed;19;Property;SUP;Constant;REAL_MEASURE;%;45"
"197;lowest humidity at which the component may be used;Minimum allowed humidity;19;Property;SUP;Constant;REAL_MEASURE;%;45"
"198;lowest allowed humidity for a device;Min humidty allowed;19;Property;SUP;Constant;REAL_MEASURE;%;45"
"199;minimum humidity at which the appliance may be operated;Least permitted humidity;19;Property;SUP;Constant;REAL_MEASURE;%;45"
"200;minimum permitted humidity for which the device is approved;Smallest permitted relative humidity;19;Property;SUP;Constant;REAL_MEASURE;%;45"
"201;minimum humidity at which the device may be used in operation;Smallest allowable humidity;19;Property;SUP;Constant;REAL_MEASURE;%;45"
"202;temperature of the atmosphere surrounding the operating resource under specified conditions / period in whose course something happens: period of time in which something is active / upper limit value of a physical quantity whose value cannot or must not be exceeded;Maximum permissible ambient temperature ;20;Property;SUP;Constant;REAL_MEASURE;K;46"
"203;Maximum limit value of specific temperature during operation surrounding the operating unit;Maximum ambient temperature ;20;Property;SUP;Constant;REAL_MEASURE;K;46"
"204;maximum temperature that may be present in the immediate exterior environment of the operation resource. This is the greatest environmental temperature not ever to be exceeded in which the operating resource can be operated without permanent changes in its characteristics;Highest permissible ambient temperature ;20;Property;SUP;Constant;REAL_MEASURE;°C;46"
"205;maximal permitted temperature of the atmosphere surrounding the operating resource during operation;Highest ambient temperature ;20;Property;SUP;Constant;REAL_MEASURE;°C;46"
"206;highest ambient temperature a device can or must withstand without permanent impairment of operating characteristics;Greatest permissible ambient temperature ;20;Property;SUP;Constant;REAL_MEASURE;°C;46"
"207;highest ambient temperature for which a device is or should be designed to operate within its specified limits;Greatest ambient temperature ;20;Property;SUP;Constant;REAL_MEASURE;°C;46"
"208;highest ambient temperature a device can or should withstand without permanent impairment of operating characteristics;Max ambient temperature allowed;20;Property;SUP;Constant;REAL_MEASURE;°C;46"
"209;highest temperature of the surrounding air declared by the manufacturer at which the control may be operated;Ambient temperature maximum;20;Property;SUP;Constant;REAL_MEASURE;°C;46"
"210;the temperature assigned to a luminaire to indicate the highest sustained temperature in which the luminaire may be operated under normal conditions;Highest ambient temperature ;20;Property;SUP;Constant;REAL_MEASURE;°C;46"
"211;maximum ambient temperature at which the device may be used in operation;Greatest permissible ambient temperature ;20;Property;SUP;Constant;REAL_MEASURE;°C;46"
"212;Minimum limit value of specific temperature during operation surrounding the operating unit;Minimum permissible ambient temperature ;21;Property;SUP;Constant;REAL_MEASURE;°C;46"
"213;minimal permitted temperature of the atmosphere surrounding the operating resource during operation;Minimum ambient temperature ;21;Property;SUP;Constant;REAL_MEASURE;°C;46"
"214;lowest ambient temperature for which a device is or should be designed to operate within its specified limits;Least permissible ambient temperature ;21;Property;SUP;Constant;REAL_MEASURE;°C;46"
"215;lowest ambient temperature a device can or should withstand without permanent impairment of operating characteristics;Least ambient temperature ;21;Property;SUP;Constant;REAL_MEASURE;°C;46"
"216;lowest temperature of the surrounding air declared by the manufacturer at which the control may be operated;Smallest permissible ambient temperature ;21;Property;SUP;Constant;REAL_MEASURE;°C;46"
"217;This characteristic describes the lowest ambient temperature that may prevail during operation of the device.;Smallest ambient temperature ;21;Property;SUP;Constant;REAL_MEASURE;°C;46"
"218;minimum ambient temperature during operation;Min ambient temperature allowed;21;Property;SUP;Constant;REAL_MEASURE;°C;46"
"219;minimum permissible ambient temperature at which the component may be operated;Ambient temperature minimum;21;Property;SUP;Constant;REAL_MEASURE;°C;46"
"220;lowest ambient temperature for which the device is approved;Least ambient temperature ;21;Property;SUP;Constant;REAL_MEASURE;°C;46"
"221;minimum ambient temperature at which the device may be used in operation;Smallest permissible ambient temperature ;21;Property;SUP;Constant;REAL_MEASURE;K;46"
"222;Pressure for a component on the basis of materials used and on the basis of calculation rules at the specified operating temperature;Maximum allowable operating pressure;22;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"223;specification of the value up to an assigned working pressure;Highest allowable working pressure;22;Property;;Constant;REAL_MEASURE;Pa;44"
"224;maximum pressure to which a component may be subjected during operation;Highest working pressure allowed;22;Property;SUP;Constant;REAL_MEASURE;Pa;44"
"225;highest operating pressure of an object based on the materials used;Max working pressure;22;Property;;Constant;REAL_MEASURE;Pa;44"
"226;maximum working pressure an object may be exposed to;Maximum permitted working pressure;22;Property;SUP;Constant;REAL_MEASURE;Pa;44"
"227;maximum working pressure to which a component may be subjected continuously without causing damage;Greatest working pressure permitted;22;Property;SUP;Constant;REAL_MEASURE;Pa;44"
"228;maximum working pressure for a pump in operation;Greatest allowed operating pressure;22;Property;SUP;Constant;REAL_MEASURE;Pa;44"
"229;maximum allowable working pressure during operation for one component under specified working conditions;Greatest pressure allowed while operation;22;Property;;Constant;REAL;Pa;44"
"230;the maximum operating pressure to which an object may be subjected continuously without breaking;Maximum permitted operating pressure;22;Property;SUP;Constant;REAL;Pa;44"
"231;maximum operating pressure at which the device may be used in operation;Highest working pressure allowed;22;Property;SUP;Constant;REAL;Pa;44"
"232;Rate of flow at the point of best efficiency;Optimal flow rate;23;Property;SUP;Constant;REAL_MEASURE;l/s;39"
"233;volume flow at best efficiency point;Optimum flow rate;23;Property;SUP;Constant;REAL_MEASURE;l/s;39"
"234;the optimum volumetric flow at the point of best efficiency;Optimal flow volume;23;Property;SUP;Constant;REAL_MEASURE;l/s;39"
"235;the largest volume flow achieved at maximum efficiency;Optimum flow capacity;23;Property;SUP;Constant;REAL_MEASURE;l/s;39"
"236;this feature describes the optimum flow rate that is achieved at the point of best efficiency;rate of flow at best efficiency;23;Property;SUP;Constant;REAL_MEASURE;l/s;39"
"237;optimum volume flow of a component;Best volume flow ;23;Property;SUP;Constant;REAL_MEASURE;l/s;39"
"238;the best flow rate of a pump at the highest efficiency point;Optimal volumetric flow;23;Property;SUP;Constant;REAL_MEASURE;l/s;39"
"239;the maximum flow a component can deliver;Optimum flow capacity;23;Property;SUP;Constant;REAL_MEASURE;l/s;39"
"240;the optimum flow that an object can have at the point of best efficiency;Optimum rate of flow ;23;Property;SUP;Constant;REAL_MEASURE;m³/s;39"
"241;best volumetric flow of the device with best efficiency;volume flow at best efficiency;23;Property;SUP;Constant;REAL;m³/h;39"
"242;maximum permissible operating pressure for which the device is approved;Max working pressure;22;Property;;Constant;REAL;Pa;44"
"243;maximum operating pressure at which the device may be operated;Maximum permitted working pressure;22;Property;SUP;Constant;REAL;Pa;44"
"244;best flow rate at the point of best efficiency;Optimal flow volume;23;Property;SUP;Constant;REAL;m³/h;39"
"245;the optimum volume flow at the highest efficiency point;Optimum flow capacity;23;Property;SUP;Constant;REAL;m³/h;39"
"246;Total head developed by the pump at a rate of flow corresponding to the best efficiency;Optimal head;24;Property;SUP;Constant;REAL_MEASURE;m;41"
"247;optimum total head which a pump achieves at the point of best efficiency;Optimum head of the pump;24;Property;SUP;Constant;REAL_MEASURE;m;41"
"248;optimum head of a pump;pump optimum head;24;Property;SUP;Constant;REAL_MEASURE;m;41"
"249;this feature describes the optimum head of a component at the point of highest efficiency;head at best efficiency;24;Property;SUP;Constant;REAL_MEASURE;m;41"
"250;the head of a pump at the point of best efficiency;head at optimum efficiency;24;Property;SUP;Constant;REAL_MEASURE;m;41"
"251;the optimum delivery head of a pump;head of the pump at best efficiency;24;Property;SUP;Constant;REAL_MEASURE;m;41"
"252;the best head of a pump at the point of best efficiency;best head;24;Property;SUP;Constant;REAL_MEASURE;m;41"
"253;optimum head of the device at the point of optimum efficiency;Optimal head;24;Property;SUP;Constant;REAL_MEASURE;m;41"
"254;best head of the device;Optimum head of the pump;24;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"255;optimum pump head of the pump;pump optimum head;24;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"256;highest total head at the point of optimum efficiency;head at best efficiency;24;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"257;best delivery head at the point of optimum efficiency;optimal head of the pump;24;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"258;Maximum permissible head at which the pump can be continuously operated without suffering damage;Maximum allowable head of the pump;25;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"259;maximum head at which a pump can be operated without causing any damage;Highest allowable head;25;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"260;maximum head that a pump can reach;Highest head allowed;25;Property;SUP;Constant;REAL_MEASURE;Meter;41"
