"did;query;name;aas_spec;qualifier;category;datatype;unit;metalabel"
"72;Rotor resonant frequency calculated considering the additional support and damping produced by the action of the pumped fluid within rotor  ;Wet critical speed;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"73;Speed that characterizes a pump in terms of its speed, flow rate per impeller eye, i.e. total flow for single-flow impeller, half flow for double-flow impeller, at the best efficiency point and head per stage at maximum impeller diameter ;Specific speed;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"74;Speed that characterizes a pump's cavitation performance in terms of its speed, optimum rate of flow per impeller eye at best efficiency point and NPSH3 at best efficiency point for the first stage at maximum impeller diameter ;Suction-specific speed;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"75;Highest pressure, excluding hydrostatic testing, to which the seal can be subjected while the pump is shut down ;Maximum static sealing pressure;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"76;Greatest outlet pressure at the specified operating temperature at which the pump casing can be used ;Maximum allowable casing working pressure;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"77;The starting pressure is the pressure at which a vacuum pump can be switched on and a pumping effect is achieved without damage occurring.;Starting Pressure;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"78;Pressure obtained in the test dome after conditioning the vacuum pump and the test dome;Base pressure;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"79;Pressure to which the pulsation dampener is charged with dry gas prior to start of operation;Pre-charge pressure;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"80;Rate of flow which is extracted to activate a balance device;Balancing rate of flow;Property;SUP;Constant;REAL_MEASURE;m³/s;39"
"81;Rate of flow leaking from shaft seals;Leakage rate of flow;Property;SUP;Constant;REAL_MEASURE;;49"
"82;Lowest flow at which the pump can operate without its operation being impaired by the temperature rise of the pumped liquid ;Minimum allowable thermal flow;Property;SUP;Constant;REAL_MEASURE;m³/s;39"
"83;Lowest flow at which the pump can be operated without it adversely affecting ist performance in terms of life expectancy, noise and vibrations ;Minimum continuous stable flow;Property;SUP;Constant;REAL_MEASURE;m³/s;39"
"84;Lowest flow at which the pump can operate without its operation being impaired by the temperature rise of the pumped liquid ;Minimum continuous thermal flow;Property;SUP;Constant;REAL_MEASURE;m³/s;39"
"85;Flow lost internally through clearances;Slip flow;Property;SUP;Constant;REAL_MEASURE;m³/s;39"
"86;Product of geometrical displacement volume and speed of rotation or stroke frequency;Geometrical flow;Property;SUP;Constant;REAL_MEASURE;m³/s;39"
"87;lt is the volume flow rate of the gas removed by the pump from the gas phase within the evacuated chamber.;Volume flow rate;Property;SUP;Constant;REAL_MEASURE;m³/s;39"
"88;NPSH required for a drop of 3 % in the total head of the first stage of the pump as a standard basis for use in performance curves ;Net positive suction head required for a drop of 3 %;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"89;Minimum NPSH at the pump inlet connection required to give the rated or operating performance at the specified conditions ;Net positive suction head required;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"90;Total head developed by the pump in a zero rate of flow ;Shut-off head;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"91;Highest total head developed by a pump when this does not occur at a zero rate of flow;Head at peak point;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"92;Representation of the pump head plotted against the flow rate;Pump curve;File;SUP;;;;2"
"93;Relationship between the pump power input and the rate of flow given operating conditions of speed and liquid;Pump power input curve;File;SUP;;;;2"
"94;Relationship between the net positive suction head required and the rate of flow at given operating conditions of speed and liquid ;Pump NPSH curve;File;SUP;;;;2"
"95;Relationship between the pump efficiency and the rate of flow at given operating conditions of speed and liquid;Pump efficiency curve;File;SUP;;;;2"
"96;Relationship between the total head of the pump and the rate of flow  at given operating conditions /rated conditions of speed and liquid;Pump H(Q) curve;File;SUP;;;;2"
"97;Residual axial thrust on the pump rotor on which the thrust-bearing selection is based;Design axial load;Property;SUP;Constant;REAL_MEASURE;Newton;42"
"98;Greatest value of the residual axial thrust on the pump rotor resulting from operating the pump at any condition within its allowable operating range;Maximum axial load;Property;SUP;Constant;REAL_MEASURE;Newton;42"
"99;Radial load of the pump rotor for which the bearing system is selected;Design radial load;Property;SUP;Constant;REAL_MEASURE;Newton;42"
"100;Greatest radial load of the pump rotor resulting from operating the pump at any condition within ist allowable operating range;Maximum radial load;Property;SUP;Constant;REAL_MEASURE;Newton;42"
"101;Average of the times between failures;Mean time between failures;Property;SUP;Constant;REAL_MEASURE;h;47"
"102;Fieldbuses supported by the manufacturer for the product;Offered Fieldbuses;Submodel Element Collection;SUP;;SET [0,?];;52"
"103;Control modes supported by the manufacturer for the product;Offered control modes;Submodel Element Collection;SUP;;SET [0,?];;52"
"104;Indicates whether the product is controllable;Controllable;Property;SUP;Constant;BOOLEAN;;48"
"105;Fluid that can be pumped by the pump;Possible Fluid;Submodel Element Collection;SUP;;SET [1, ?] ;;52"
"106;Selected fieldbus for the product;Fieldbus;Property;SPE;Parameter;ENUM_CODE;;36"
"107;Specifies whether the pump is to be operated in single, parallel or series connection.;Operating mode;Property;SPE;Parameter;ENUM_CODE;;36"
"108;Specifies which control mode is to be used for the use case.;Required control mode;Property;SPE;Parameter;ENUM_CODE;;36"
"109;Fluid that is handled by the pump at specified operating conditions;Fluid;Property;SPE;Parameter;ENUM_CODE;;36"
"110;Highest relative humidity that can be expected under normal circumstances.;Maximum relative humidity;Property;SPE;Parameter;REAL_MEASURE;%;33"
"111;Highest ambient temperature to be expected under normal circumstances;Maximum ambient temperature;Property;SPE;Parameter;REAL_MEASURE;K;34"
"112;Lowest relative humidity to be expected under normal circumstances.;Minimum relative humidity;Property;SPE;Parameter;REAL_MEASURE;%;33"
"113;Lowest ambient temperature to be expected under normal circumstances;Minimum ambient temperature;Property;SPE;Parameter;REAL_MEASURE;K;34"
"114;Proportion of solids contained in the fluid to be pumped, either as a contaminant or as a deliberate useful burden or suspension ;Solid content;Property;SPE;Parameter;REAL_MEASURE;%;33"
"115;Temperature determined by the given application and fluid. ;Working temperature;Property;SPE;Parameter;REAL_MEASURE;K;34"
"116;Highest fluid temperature to be expected under operating conditions;Maximum temperature;Property;SPE;Parameter;REAL_MEASURE;°C;34"
"117;Lowest fluid temperature to be expected under operating conditions;Minimum temperature;Property;SPE;Parameter;REAL_MEASURE;K;34"
"118;Inlet pressure of the installation for the working conditions;Rated inlet pressure of the installation;Property;SPE;Parameter;REAL_MEASURE;Pascal;32"
"119;Lowest outlet pressure that can occur during operation for the pump;Minimum outlet pressure;Property;SPE;Parameter;REAL_MEASURE;Pascal;32"
"120;Maximum possible pressure at outlet, due either to internal energy increase (rotodynamic pumps) or external downstream restrictions (volumetric pumps) ;Maximum outlet pressure;Property;SPE;Parameter;REAL_MEASURE;Pascal;32"
"121;Lowest inlet pressure that can occur during operation for the pump;Minimum inlet pressure;Property;SPE;Parameter;REAL_MEASURE;Pascal;32"
"122;Highest inlet pressure to which the pump is subjected during operation ;Maximum inlet pressure;Property;SPE;Parameter;REAL_MEASURE;Pascal;32"
"123;Greatest rate of flow which is expected at operating conditions ;Maximum flow;Property;SPE;Parameter;REAL_MEASURE;m³/s;30"
"124;Smallest rate of flow which is expected at operating conditions ;Minimum flow;Property;SPE;Parameter;REAL_MEASURE;m³/s;30"
"125;Rate of flow at which usual operation is expected ;Normal flow;Property;SPE;Parameter;REAL_MEASURE;m³/s;30"
"126;Difference of the total head, at the outlet side of the pump unit from the total head at the inlet side of the pump unit, at wihich usual operation is expected ;Rated pump unit total head;Property;SPE;Parameter;REAL_MEASURE;Meter;31"
"127;Smallest total head developed by a pump at any rate of flow;Minimum Head;Property;SPE;Parameter;REAL_MEASURE;Meter;31"
"128;Highest total head developed by a pump at any rate of flow;Maximum head;Property;SPE;Parameter;REAL_MEASURE;Meter;31"
"129;Horizontal plane through the centre of the circle described by the external points of the entrance edges of the impeller blades, in the first stage in the case of multi-stage pumps;NPSH datum plane;Property;SPE;Parameter;REAL_MEASURE;Meter;31"
"130;Any horizontal plane for use as the datum for height measurement;Reference plane;Property;SPE;Parameter;REAL_MEASURE;Meter;31"
"131;Height of the fluid level on the outlet side of the installation or in the centre of the outlet manifold;Height of the outlet side of the installation;Property;SPE;Parameter;REAL_MEASURE;Meter;31"
"132;Height of the fluid level on the inlet side of the installation, or in the centre of the inlet manifold ;Height of the inlet side of the installation;Property;SPE;Parameter;REAL_MEASURE;Meter;31"
"133;Height of the centre of the pump;Height of the pump;Property;SPE;Parameter;REAL_MEASURE;Meter;31"
"134;Time interval throughout which an item is required to be in an up state ;Required time;Property;SPE;Parameter;REAL_MEASURE;h;35"
"135;Height of the zero or centre position of the outlet manometer, or other point as defined by the manometer calibration ;Height of the outlet manometer;Property;CON;Parameter;REAL_MEASURE;Meter;7"
"136;Height of the zero or centre position of the inlet manometer, or other point as defined by the manometer calibration ;Height of the inlet manometer;Property;CON;Parameter;REAL_MEASURE;Meter;7"
"137;Ratio of the shear stress to the shear velocity acting in a liquid subjected to a plane shear motion ;Dynamic viscosity;Property;CON;Parameter;REAL_MEASURE;Pa*s;4"
"138;Ratio of the dynamic viscosity to the density of the pumped liquid ;Kinematic viscosity;Property;CON;Parameter;REAL_MEASURE;m²/s;4"
"139;Volumic mass at a stated temperature ;Density;Property;CON;Parameter;REAL_MEASURE;kg/m³;4"
"140;Mean absolute pressure of the atmosphere measured at the place of installation of the pump ;Atmospheric pressure;Property;CON;Parameter;REAL_MEASURE;Pascal;9"
"141;Differential pressure for the operating conditions at the guarantee point ;Rated differential pressure ;Property;CON;Parameter;REAL_MEASURE;Pascal;9"
"142;Highest pressure expected at the shaft seals during any specified operating condition and during startup and shutdown ;Maximum dynamic sealing pressure;Property;CON;Parameter;REAL_MEASURE;Pascal;9"
"143;Rate of flow at the guarantee point ;Rated flow;Property;CON;Parameter;REAL_MEASURE;m³/s;5"
"144;Greatest rate of flow that the pump can be expected to deliver continuously without risk of internal damage when operated at the rated speed and on the liquid for which it was supplied;Maximum allowable flow;Property;CON;Parameter;REAL_MEASURE;m³/s;5"
"145;Smallest rate of flow that the pump can be expected to deliver continuously without risk of internal damage when operated at the rated speed and on the liquid for which it was supplied ;Minimum allowable flow;Property;CON;Parameter;REAL_MEASURE;m³/s;5"
"146;Lowest flow at which the pump can operate without exceeding the noise and vibration limits imposed in the order ;Minimum allowable stable flow;Property;CON;Parameter;REAL_MEASURE;m³/s;5"
"147;Head observed at outlet area of the installation, corresponding to the sum of the height, pressure head and velocity head  ;Total head at outlet area of the installation;Property;CON;Parameter;REAL_MEASURE;Meter;7"
"148;Head observed at inlet area of the installation, corresponding to the sum of the height, pressure head and velocity head  ;Total head at inlet area of the installation;Property;CON;Parameter;REAL_MEASURE;Meter;7"
"149;Difference between the total head at the outlet side of the installation and the total head at the inlet side of the installation ;Installation total head;Property;CON;Parameter;REAL_MEASURE;Meter;7"
"150;Difference between the total head at the outlet side of the pump and the total head at the inlet side of the pump ;Pump total head;Property;CON;Parameter;REAL_MEASURE;Meter;7"
"151;Difference between the NPSH datum plane and the reference plane ;Height of the NPSH datum plane;Property;CON;Parameter;REAL_MEASURE;Meter;7"
"152;Minimum NPSH available at the inlet area of the pump as determined by the conditions of the installation for a specified rate of flow ;Net positive suction head available;Property;CON;Parameter;REAL_MEASURE;Meter;7"
"153;Rated flow at the inlet area of the installation divided by the inlet area of the installation;Mean rated velocity at inlet area of the installation;Property;CON;Parameter;REAL_MEASURE;m/s;11"
"154;Rated flow at the outlet area of the installation divided by the inlet area of the installation;Mean rated velocity at outlet area of the installation;Property;CON;Parameter;REAL_MEASURE;m/s;11"
"155;Power required by the pump at the rated conditions;Pump rated power input;Property;CON;Parameter;REAL_MEASURE;W;8"
"156;Proportion of the pump power input, P, delivered as pump power output, Pu, at given operating conditions;Pump efficiency;Property;CON;Parameter;REAL_MEASURE;%;10"
"157;Greatest value of pump efficiency obtained at given operating conditions ;Pump best efficiency;Property;CON;Parameter;REAL_MEASURE;%;10"
"158;Proportion of the pump power input, P, available after satisfying the mechanical power losses, PJ,ab, at given operating conditions;Mechanical efficiency;Property;CON;Parameter;REAL_MEASURE;%;10"
"159;Proportion of the driver power input, Pmot, delivered as pump power output, Pu;Overall efficiency;Property;CON;Parameter;REAL_MEASURE;%;10"
"160;Number of revolutions of the pump in a given time required to meet the rated conditions ;Rated speed;Property;CON;Parameter;REAL_MEASURE;s^(-1);6"
"161;Time interval from first use until the instant when a limiting state is reached ;Useful life;Property;CON;Parameter;REAL_MEASURE;h;12"
"162;Current state of the item;State of the item;Property;OP;Variable;ENUM_CODE;;25"
"163;Time interval throughout which an item is in operating state;Operating time ;Property;OP;Variable;REAL_MEASURE;h;23"
"164;Time interval when maintenance is carried out on an item including technical, logistic and internal administrative delays;Maintenance time;Property;OP;Variable;REAL_MEASURE;h;23"
"165;Part of the maintenance time when active maintenance is carried out on an item ;Active maintenance time;Property;OP;Variable;REAL_MEASURE;h;23"
"166;Time interval throughout which an item is in an up state;Up time;Property;OP;Variable;REAL_MEASURE;h;23"
"167;Time interval throughout which an item is in an idle state;Idle time;Property;OP;Variable;REAL_MEASURE;h;23"
"168;Time interval throughout which an item is in a down state;Down time;Property;OP;Variable;REAL_MEASURE;h;23"
"169;Part of corrective maintenance time when repair is carried out on an item.;Repair time;Property;OP;Variable;REAL_MEASURE;h;23"
"170;Average of the operating times between failures;Mean operating time between failures;Property;OP;Variable;REAL_MEASURE;h;23"
"171;Average of the repair times;Mean repair time;Property;OP;Variable;REAL_MEASURE;h;23"
"172;Operating time accumulated from the first use, or from restoration, until failure ;Operating time to failure;Property;OP;Variable;REAL_MEASURE;h;23"
"173;Operating time between consecutive failures ;Operating time between failures;Property;OP;Variable;REAL_MEASURE;h;23"
"174;Duration between consecutive failures;Time between failures;Property;OP;Variable;REAL_MEASURE;h;23"
"175;Number of failures within a population divided by the number of life units used by that population;Failure rate;Property;OP;Variable;REAL;%;20"
"176;Technical instructions to achieve proper functioning of the observation unit in accordance with the technical specifications and safety conditions;Operating manual;File;SUP;;;;2"
"177;Technical instructions to maintain or restore a unit of observation to a condition in which it can perform a required function.;Maintenance manual;File;SUP;;;;2"
"178;Comprehensive list of units that are part of another unit;List of components and spare parts list;File;SUP;;;;2"
"179;Drawing showing the spare parts layout of a unit;Overview drawing;File;SUP;;;;2"
"180;Drawing with list of parts to ensure disassembly, repair and assembly of units';Detail drawing;File;SUP;;;;2"
"181;System Control Diagram to Illustrate the Entire System Logic;Logic diagram;File;SUP;;;;2"
"182;Diagram of all supply lines and control circuits;Circuit diagram;File;SUP;;;;2"
"183;All gas and liquid pipelines (air, steam, oil, fuel, etc.), and Control diagram;Pipeline and instrument diagram;File;SUP;;;;2"
"184;List of work orders for a particular unit. The list is created for a specified period of time;Unit maintenance report;File;OP;;;;1"
"185;List of all activities (work order) performed by a technician. This list includes a predefined time period;Personnel recording;File;OP;;;;1"
"186;List of all maintenance workers involved in the execution of the work order;Staff;File;OP;;;;1"
"187;Explanation of the work carried out;Implementation description;File;OP;;;;1"
"188;Inability of an item to be maintained due to the unavailability on the market of the necessary resources at acceptable technical and/or economic conditions;Obsolescence;Property;OP;Variable;BOOLEAN;;24"
"189;Probability that a machine will, when used under specified conditions, operate satisfactorily and effectively;Availability;Property;OP;Variable;REAL_MEASURE;%;20"
"190;Probability that an item is in a state to perform as required at a given instant, under given conditions, assuming that the necessary external resources are provided ;Instantaneous availability;Property;OP;Variable;REAL_MEASURE;%;20"
"191;Ratio of actual production to required production, or any other reference level, over a specified period of time;Production based availability;Property;OP;Variable;REAL_MEASURE;%;20"
"192;During a given period of time, percentage of the time during which an item was able to perform when required ;Time based availability;Property;OP;Variable;REAL_MEASURE;%;20"
"193;Ability of a machine or part of a system to be retained in, or restored to, a state in which it can perform the required function(s) ;Maintainability;Property;OP;Variable;REAL_MEASURE;%;20"
"194;Probability that a machine will perform its required functions without failure for a specified time period when used under specified conditions ;Reliability;Property;OP;Variable;REAL_MEASURE;%;20"
"195;Reliability of an item determined by design and manufacture under expected conditions of operation and maintenance ;Expected reliability;Property;OP;Variable;REAL_MEASURE;%;20"
"196;Reliability of an item determined by design and manufacture under expected conditions of operation assuming that no preventive maintenance task is carried out, excepting routine maintenance ;Intrinsic reliability;Property;OP;Variable;REAL_MEASURE;%;20"
"197;Actual reliability of an item considering operating modes, operating conditions and possible preventive maintenance actions carried out ;Operational reliability;Property;OP;Variable;REAL_MEASURE;%;20"
"198;Ability of an item to perform a required function under given conditions of use and maintenance, until the end of useful life ;Durability;Property;OP;Variable;REAL_MEASURE;%;20"
"199;Part of the maintenance time when active corrective maintenance is carried out on an item, including technical, logistic and internal administrative delays ;Corrective maintenance time;Property;OP;Variable;REAL_MEASURE;h;23"
"200;Number of failures of an object ;Number of failures;Property;OP;Variable;INT;;26"
"201;Extent of loss, damage or harm caused by a fault or failure;Severity ;Property;OP;Variable;STRING;;28"
"202;Index of the severity of an effect combined with the probability of expected frequency of its occurrence;Criticality ;Property;OP;Variable;STRING;;28"
"203;This attribute indicates the date of installation or commissioning of the device.;Installation date;Property;BUILT;Variable;DATE;;3"
"204;This attribute identifies the date when the device was last inspected.;Last inspection date;Property;OP;Variable;DATE;;29"
"205;This attribute identifies the date when the device is scheduled for the next inspection.;Next inspection date;Property;OP;Variable;DATE;;29"
"206;This attribute identifies the date when the device was last serviced.;Last servicing date;Property;OP;Variable;DATE;;29"
"207;This attribute identifies the date when the device is scheduled for the next servicing.;Next servicing date;Property;OP;Variable;DATE;;29"
"208;Part of maintenance time when preventive maintenance is carried out on an item, including technical, logistic and internal administrative delays;Preventive maintenance time;Property;OP;Variable;REAL_MEASURE;h;23"
"209;Measured number of rotations or movements made by the shaft, coupling or impeller in a given time;Speed;Property;OP;Variable;REAL_MEASURE;s^(-1);16"
"210;Measured pressure at the outlet area of the installation;Outlet pressure of the installation;Property;OP;Variable;REAL_MEASURE;Pascal;19"
"211;Measured pressure at the inlet area of the installation;Inlet pressure of the installation;Property;OP;Variable;REAL_MEASURE;Pascal;19"
"212;Determined (actual) gain in total pressure between the pump inlet and pump outlet;Differential pressure;Property;OP;Variable;REAL_MEASURE;Pascal;19"
"213;Measured process pressure of the pump;Process pressure;Property;OP;Variable;REAL_MEASURE;Pascal;19"
"214;Measured back pressure of the pump;Back pressure ;Property;OP;Variable;REAL_MEASURE;Pascal;19"
"215;Measured ambient temperature;Ambient temperature;Property;OP;Variable;REAL_MEASURE;K;22"
"216;Measured temperature of the coolant.;Coolant temperature;Property;OP;Variable;REAL_MEASURE;K;22"
"217;Measured internal temperature of pump fluid.;Fluid temperature;Property;OP;Variable;REAL_MEASURE;K;22"
"218;Measured temperature of the pump;Pump temperature;Property;OP;Variable;REAL_MEASURE;K;22"
"219;Measured temperature of the bearing;Bearing temperature;Property;OP;Variable;REAL_MEASURE;°C;22"
"220;Measured temperature of the housing;Housing temperature;Property;OP;Variable;REAL_MEASURE;K;22"
"221;Measured temperature of the electronic;Electronic temperature;Property;OP;Variable;REAL_MEASURE;K;22"
"222;Measure mass flow from the outlet area of the pump;Mass flow;Property;OP;Variable;REAL_MEASURE;kg/s;15"
"223;Determined total head at the outlet area of the installation, which corresponds to the sum of geodetic head, pressure head and velocity head ;Total head at outlet area of the installation;Property;OP;Variable;REAL_MEASURE;Meter;17"
"224;Determined total head at the inlet area of the installation, which corresponds to the sum of geodetic head, pressure head and velocity head;Total head at inlet area of the installation;Property;OP;Variable;REAL_MEASURE;Meter;17"
"225;Determined difference between the total head at the oulet side of the installation and the total head at the inlet side of the installation;Installation total head;Property;OP;Variable;REAL_MEASURE;Meter;17"
"226;Determined difference between the total head at the outlet side of the pump and the total head at the inlet side of the pump;Pump total head;Property;OP;Variable;REAL_MEASURE;Meter;17"
